G1 Point Diff,G2 Point Diff,G3 Point Diff,G4 Point Diff,G5 Point Diff,G6 Point Diff,
2,-3,-34,2,16,-6,1
10,-15,11,3,-15,-8,1
-2,43,-9,5,7,-12,1
-1,16,-9,7,11,-17,1
14,10,-38,-23,1,-7,1
7,26,-27,-8,-15,45,1
-4,-9,5,32,-30,13,1
-3,-8,17,1,7,-19,1
-4,34,12,-1,-12,9,1
7,6,26,-17,-13,-1,1
-12,23,-2,8,-3,13,1
-7,-20,9,10,-30,27,1
-11,25,-6,20,13,-8,1
-10,-6,10,25,-5,7,1
-8,-39,3,11,-6,15,1
4,-16,-16,3,3,-5,1
10,-19,-37,-2,10,12,1
15,13,-12,-3,34,-4,1
18,3,-1,-7,22,-3,1
-23,9,-6,-11,6,13,1
-5,9,-10,14,18,-17,1
13,-5,-21,5,36,-11,1
-8,7,3,-4,-26,11,1
6,14,-24,-2,5,-11,1
-18,3,-2,4,3,-34,1
-25,-13,30,9,-13,10,1
13,-22,41,-3,-4,29,1
2,-8,-5,7,4,-5,1
12,10,-27,-19,22,-1,1
-10,11,16,-17,3,-18,1
32,12,-16,-4,-2,7,1
-6,4,4,-7,8,-12,1
-6,27,-28,-24,9,7,1
-15,-33,30,-11,15,14,1
15,-4,-27,9,-4,6,1
-16,6,-25,-33,21,12,1
7,-5,4,-8,-2,14,1
-4,40,2,-21,10,-1,1
-8,16,-13,3,-10,7,1
14,-6,-3,3,-1,20,1
5,-21,-1,4,6,-2,1
-17,8,3,8,-19,-3,1
1,-4,18,-7,11,-14,1
-4,19,-36,16,-10,3,1
15,4,-15,4,-3,-17,1
1,-7,1,4,-12,-2,1
1,-1,16,-9,16,-7,1
14,4,-10,-2,-4,19,1
-13,9,-8,10,27,-12,1
10,10,-18,-7,-4,14,1
13,-9,7,-7,-6,22,1
-2,3,21,-3,2,-1,1
26,-15,-29,10,15,-26,1
5,-18,21,-1,-4,8,1
-8,13,14,-12,40,-15,1
23,19,-9,-5,25,-3,1
-19,-18,11,20,-22,19,1
4,16,-24,-11,7,-5,1
-9,-8,14,13,-4,12,1
5,-6,-7,-1,17,8,1
-2,22,1,5,-1,-5,1
27,6,-9,-2,-2,2,1
7,-25,3,-7,7,-12,1
-12,-2,4,4,3,-18,1
-20,3,23,-31,5,-3,1
9,-6,-9,10,-12,25,1
15,21,-17,-31,1,-9,1
2,30,-6,-11,4,-6,1
22,15,-18,-15,-7,6,1
-6,5,1,-6,12,-17,1
10,4,12,-19,-4,-22,1
-5,12,-9,-8,31,15,1
-11,22,4,-16,19,-6,1
7,-6,-13,1,-1,4,1
12,1,-10,-7,-8,7,1
-3,5,-24,5,33,-12,1
8,-14,-6,6,1,-10,1
-4,6,-1,8,-6,2,1
15,-29,2,12,-8,-10,1
6,6,-2,-2,19,-3,1
10,-5,4,4,-6,-3,1
-9,4,-4,-13,15,5,1
30,4,-20,2,-3,-35,1
2,-19,2,14,-1,-10,1
-22,-24,33,-4,6,13,1
4,5,-5,-1,2,-27,1
-4,-7,16,11,23,-14,1
4,5,-2,-12,1,-14,1
9,10,2,-1,-8,-3,1
11,11,-20,-6,-7,7,1
7,-8,4,-9,-7,2,1
9,11,-18,-11,25,-13,1
14,-4,7,-19,6,-16,1
25,-6,-3,2,16,-31,1
-5,8,8,-7,8,-14,1
13,10,-23,-10,6,-15,1
9,9,-5,-7,14,-18,1
19,-4,-7,13,2,-28,1
9,11,-18,-9,-8,2,1
15,22,-12,-14,17,-2,1
-12,12,13,-25,-10,1,1
13,2,-5,1,-5,-10,1
13,9,-18,-26,1,-8,1
-6,12,-4,5,5,-18,1
18,14,-8,-5,22,-2,1
-6,3,-33,4,18,-11,1
-40,8,2,25,-29,-13,1
3,-10,5,-11,17,-23,1
-22,5,1,7,-12,-5,1
9,-12,13,-2,6,-5,1
-1,19,-10,-2,2,2,1
1,-2,-4,5,-11,1,1
13,1,-8,3,-23,-2,1
14,-8,12,2,-4,-18,1
15,6,-10,-9,-6,1,1
-21,20,-2,-16,4,8,1
16,16,-31,14,-5,-28,1
-4,8,-1,4,-4,35,1
-2,12,9,-5,19,-5,1
9,9,-4,-11,7,-9,1
-5,1,12,-11,1,-4,1
-25,7,-8,4,-16,1,1
15,-26,-8,2,2,-1,1
3,-28,-12,2,10,-4,1
-11,14,15,-6,4,-6,1
18,-1,-7,5,-10,14,1
-3,7,6,-17,19,-5,1
11,-12,-9,8,1,-17,1
-9,5,1,-15,4,-4,1
15,-9,12,-8,9,-1,1
-4,27,-19,2,5,-16,1
9,4,9,-11,-9,-2,1
3,15,-10,-4,21,-8,1
-26,33,7,7,-1,-10,1
10,-20,14,-11,-5,19,1
4,-12,-4,4,3,-16,1
6,-1,2,-16,12,-7,1
-47,-9,2,11,-9,10,1
-8,-8,5,10,-9,6,1
1,10,-8,-10,26,-14,1
-14,12,8,15,-1,-4,1
-1,-19,26,21,-5,17,1
2,-13,13,27,-18,-3,1
19,13,-6,-4,10,-3,1
16,-13,-14,-10,17,11,1
3,7,-14,-10,21,-9,1
12,-2,3,-6,7,-22,1
19,10,-5,-17,22,-5,1
-4,2,-8,27,-15,3,1
-2,-6,6,1,-13,9,1
30,-3,22,-1,10,-11,1
23,14,-24,7,-11,-18,1
9,-7,-16,7,15,-5,1
-10,5,-19,-1,19,18,1
9,-9,-8,-5,18,8,1
23,9,-7,12,-12,-4,1
-4,20,14,5,-4,-8,1
10,-6,18,-3,6,-6,1
-5,35,-4,2,24,-28,1
-3,23,-5,18,5,-10,1
8,2,-13,-10,27,-8,1
28,-7,15,-4,15,-10,1
14,-7,-2,12,-5,14,1
-4,15,-6,1,-9,1,1
13,-7,4,-2,-7,21,1
18,-10,16,-10,25,-3,1
22,-2,22,-12,21,-12,1
-2,20,-2,5,15,-2,1
4,3,-7,-7,-3,5,1
11,-2,14,-11,11,-2,1
4,-8,5,-1,13,-8,1
27,15,7,-6,-3,-7,1
-2,1,28,-5,-7,23,1
-2,3,34,-2,-16,6,0
-10,15,-11,-3,15,8,0
2,-43,9,-5,-7,12,0
1,-16,9,-7,-11,17,0
-14,-10,38,23,-1,7,0
-7,-26,27,8,15,-45,0
4,9,-5,-32,30,-13,0
3,8,-17,-1,-7,19,0
4,-34,-12,1,12,-9,0
-7,-6,-26,17,13,1,0
12,-23,2,-8,3,-13,0
7,20,-9,-10,30,-27,0
11,-25,6,-20,-13,8,0
10,6,-10,-25,5,-7,0
8,39,-3,-11,6,-15,0
-4,16,16,-3,-3,5,0
-10,19,37,2,-10,-12,0
-15,-13,12,3,-34,4,0
-18,-3,1,7,-22,3,0
23,-9,6,11,-6,-13,0
5,-9,10,-14,-18,17,0
-13,5,21,-5,-36,11,0
8,-7,-3,4,26,-11,0
-6,-14,24,2,-5,11,0
18,-3,2,-4,-3,34,0
25,13,-30,-9,13,-10,0
-13,22,-41,3,4,-29,0
-2,8,5,-7,-4,5,0
-12,-10,27,19,-22,1,0
10,-11,-16,17,-3,18,0
-32,-12,16,4,2,-7,0
6,-4,-4,7,-8,12,0
6,-27,28,24,-9,-7,0
15,33,-30,11,-15,-14,0
-15,4,27,-9,4,-6,0
16,-6,25,33,-21,-12,0
-7,5,-4,8,2,-14,0
4,-40,-2,21,-10,1,0
8,-16,13,-3,10,-7,0
-14,6,3,-3,1,-20,0
-5,21,1,-4,-6,2,0
17,-8,-3,-8,19,3,0
-1,4,-18,7,-11,14,0
4,-19,36,-16,10,-3,0
-15,-4,15,-4,3,17,0
-1,7,-1,-4,12,2,0
-1,1,-16,9,-16,7,0
-14,-4,10,2,4,-19,0
13,-9,8,-10,-27,12,0
-10,-10,18,7,4,-14,0
-13,9,-7,7,6,-22,0
2,-3,-21,3,-2,1,0
-26,15,29,-10,-15,26,0
-5,18,-21,1,4,-8,0
8,-13,-14,12,-40,15,0
-23,-19,9,5,-25,3,0
19,18,-11,-20,22,-19,0
-4,-16,24,11,-7,5,0
9,8,-14,-13,4,-12,0
-5,6,7,1,-17,-8,0
2,-22,-1,-5,1,5,0
-27,-6,9,2,2,-2,0
-7,25,-3,7,-7,12,0
12,2,-4,-4,-3,18,0
20,-3,-23,31,-5,3,0
-9,6,9,-10,12,-25,0
-15,-21,17,31,-1,9,0
-2,-30,6,11,-4,6,0
-22,-15,18,15,7,-6,0
6,-5,-1,6,-12,17,0
-10,-4,-12,19,4,22,0
5,-12,9,8,-31,-15,0
11,-22,-4,16,-19,6,0
-7,6,13,-1,1,-4,0
-12,-1,10,7,8,-7,0
3,-5,24,-5,-33,12,0
-8,14,6,-6,-1,10,0
4,-6,1,-8,6,-2,0
-15,29,-2,-12,8,10,0
-6,-6,2,2,-19,3,0
-10,5,-4,-4,6,3,0
9,-4,4,13,-15,-5,0
-30,-4,20,-2,3,35,0
-2,19,-2,-14,1,10,0
22,24,-33,4,-6,-13,0
-4,-5,5,1,-2,27,0
4,7,-16,-11,-23,14,0
-4,-5,2,12,-1,14,0
-9,-10,-2,1,8,3,0
-11,-11,20,6,7,-7,0
-7,8,-4,9,7,-2,0
-9,-11,18,11,-25,13,0
-14,4,-7,19,-6,16,0
-25,6,3,-2,-16,31,0
5,-8,-8,7,-8,14,0
-13,-10,23,10,-6,15,0
-9,-9,5,7,-14,18,0
-19,4,7,-13,-2,28,0
-9,-11,18,9,8,-2,0
-15,-22,12,14,-17,2,0
12,-12,-13,25,10,-1,0
-13,-2,5,-1,5,10,0
-13,-9,18,26,-1,8,0
6,-12,4,-5,-5,18,0
-18,-14,8,5,-22,2,0
6,-3,33,-4,-18,11,0
40,-8,-2,-25,29,13,0
-3,10,-5,11,-17,23,0
22,-5,-1,-7,12,5,0
-9,12,-13,2,-6,5,0
1,-19,10,2,-2,-2,0
-1,2,4,-5,11,-1,0
-13,-1,8,-3,23,2,0
-14,8,-12,-2,4,18,0
-15,-6,10,9,6,-1,0
21,-20,2,16,-4,-8,0
-16,-16,31,-14,5,28,0
4,-8,1,-4,4,-35,0
2,-12,-9,5,-19,5,0
-9,-9,4,11,-7,9,0
5,-1,-12,11,-1,4,0
25,-7,8,-4,16,-1,0
-15,26,8,-2,-2,1,0
-3,28,12,-2,-10,4,0
11,-14,-15,6,-4,6,0
-18,1,7,-5,10,-14,0
3,-7,-6,17,-19,5,0
-11,12,9,-8,-1,17,0
9,-5,-1,15,-4,4,0
-15,9,-12,8,-9,1,0
4,-27,19,-2,-5,16,0
-9,-4,-9,11,9,2,0
-3,-15,10,4,-21,8,0
26,-33,-7,-7,1,10,0
-10,20,-14,11,5,-19,0
-4,12,4,-4,-3,16,0
-6,1,-2,16,-12,7,0
47,9,-2,-11,9,-10,0
8,8,-5,-10,9,-6,0
-1,-10,8,10,-26,14,0
14,-12,-8,-15,1,4,0
1,19,-26,-21,5,-17,0
-2,13,-13,-27,18,3,0
-19,-13,6,4,-10,3,0
-16,13,14,10,-17,-11,0
-3,-7,14,10,-21,9,0
-12,2,-3,6,-7,22,0
-19,-10,5,17,-22,5,0
4,-2,8,-27,15,-3,0
2,6,-6,-1,13,-9,0
-30,3,-22,1,-10,11,0
-23,-14,24,-7,11,18,0
-9,7,16,-7,-15,5,0
10,-5,19,1,-19,-18,0
-9,9,8,5,-18,-8,0
-23,-9,7,-12,12,4,0
4,-20,-14,-5,4,8,0
-10,6,-18,3,-6,6,0
5,-35,4,-2,-24,28,0
3,-23,5,-18,-5,10,0
-8,-2,13,10,-27,8,0
-28,7,-15,4,-15,10,0
-14,7,2,-12,5,-14,0
4,-15,6,-1,9,-1,0
-13,7,-4,2,7,-21,0
-18,10,-16,10,-25,3,0
-22,2,-22,12,-21,12,0
2,-20,2,-5,-15,2,0
-4,-3,7,7,3,-5,0
-11,2,-14,11,-11,2,0
-4,8,-5,1,-13,8,0
-27,-15,-7,6,3,7,0
2,-1,-28,5,7,-23,0
